,sessionID,timestamp,type,buildSuccessful
6,4,2016-11-10 09:27:01,build,True
7,5,2016-11-10 10:22:32,build,True
8,6,2016-11-10 10:58:26,build,True
9,6,2016-11-10 11:07:58,build,True
10,7,2016-11-10 11:37:53,build,True
11,7,2016-11-10 11:41:29,build,True
12,7,2016-11-10 11:42:19,build,True
13,8,2016-11-10 12:01:33,build,True
14,9,2016-11-10 12:29:36,build,True
15,10,2016-11-10 12:54:29,build,True
16,10,2016-11-10 12:57:37,build,True
17,10,2016-11-10 13:05:08,build,True
18,10,2016-11-10 13:08:32,build,True
19,10,2016-11-10 13:10:26,build,True
20,10,2016-11-10 13:15:36,build,True
21,10,2016-11-10 13:18:02,build,True
22,10,2016-11-10 13:18:53,build,True
43,23,2016-05-12 00:58:10,build,True
44,23,2016-05-12 01:02:59,build,True
46,24,2016-06-02 23:45:34,build,True
47,24,2016-06-02 23:54:38,build,False
48,24,2016-06-02 23:55:28,build,False
49,24,2016-06-02 23:57:08,build,True
50,24,2016-06-02 23:57:27,build,True
51,24,2016-06-02 23:59:21,build,False
52,24,2016-06-02 23:59:45,build,False
53,24,2016-06-03 00:00:12,build,False
54,24,2016-06-03 00:01:09,build,False
55,24,2016-06-03 00:02:10,build,False
56,24,2016-06-03 00:02:18,build,False
57,24,2016-06-03 00:02:26,build,False
58,24,2016-06-03 00:03:40,build,False
60,28,2017-01-12 12:30:06,build,True
61,30,2017-01-12 15:11:53,build,False
62,30,2017-01-12 15:12:13,build,True
63,30,2017-01-12 15:12:43,build,True
64,33,2017-01-13 13:16:02,build,True
65,33,2017-01-13 13:16:44,build,True
66,33,2017-01-13 13:16:59,build,True
67,33,2017-01-13 13:17:09,build,True
68,33,2017-01-13 13:17:44,build,True
69,33,2017-01-13 13:17:55,build,True
70,34,2017-01-16 14:25:31,build,True
71,35,2017-01-16 14:34:15,build,True
72,35,2017-01-16 14:45:19,build,True
73,35,2017-01-16 14:46:11,build,True
74,35,2017-01-16 14:46:22,build,True
95,44,2016-04-13 11:52:19,build,True
96,44,2016-04-13 11:53:01,build,True
97,44,2016-04-13 11:54:19,build,True
98,46,2016-04-13 12:28:45,build,True
99,46,2016-04-13 12:29:47,build,True
100,46,2016-04-13 12:31:02,build,True
101,51,2016-04-14 09:55:10,build,False
102,51,2016-04-14 09:57:12,build,False
103,51,2016-04-14 09:57:30,build,False
104,51,2016-04-14 09:57:37,build,True
105,51,2016-04-14 09:59:07,build,True
106,51,2016-04-14 10:23:07,build,True
107,51,2016-04-14 10:23:16,build,True
108,51,2016-04-14 10:23:46,build,True
109,51,2016-04-14 10:24:02,build,True
110,51,2016-04-14 10:24:57,build,True
111,51,2016-04-14 10:25:03,build,True
112,51,2016-04-14 10:26:01,build,True
113,51,2016-04-14 10:27:24,build,True
114,51,2016-04-14 10:27:50,build,True
115,51,2016-04-14 10:28:00,build,True
116,51,2016-04-14 10:28:12,build,True
117,58,2016-04-14 15:31:24,build,True
118,58,2016-04-14 15:31:54,build,True
119,58,2016-04-14 15:32:05,build,True
120,58,2016-04-14 15:33:00,build,True
121,58,2016-04-14 15:33:10,build,True
122,58,2016-04-14 15:33:16,build,True
123,58,2016-04-14 15:33:36,build,True
124,58,2016-04-14 15:33:44,build,True
125,58,2016-04-14 15:34:00,build,True
126,58,2016-04-14 15:34:07,build,True
127,58,2016-04-14 15:34:16,build,True
128,59,2016-04-14 16:12:13,build,True
129,59,2016-04-14 16:16:28,build,True
130,59,2016-04-14 16:17:22,build,True
131,61,2016-04-14 18:22:12,build,False
132,61,2016-04-14 18:22:30,build,False
133,61,2016-04-14 18:22:40,build,True
134,61,2016-04-14 18:23:42,build,True
135,61,2016-04-14 18:24:07,build,True
136,61,2016-04-14 18:33:57,build,True
141,62,2016-06-29 08:31:16,build,True
142,62,2016-06-29 08:32:06,build,True
143,62,2016-06-29 08:34:53,build,True
144,62,2016-06-29 08:39:36,build,True
145,62,2016-06-29 08:41:30,build,True
146,62,2016-06-29 09:01:55,build,True
147,62,2016-06-29 09:02:56,build,True
148,62,2016-06-29 09:03:42,build,True
149,62,2016-06-29 09:04:04,build,True
150,62,2016-06-29 09:04:26,build,True
151,62,2016-06-29 09:06:08,build,True
152,62,2016-06-29 09:14:28,build,True
153,62,2016-06-29 09:17:20,build,True
154,62,2016-06-29 09:18:50,build,True
155,63,2016-06-29 09:30:18,build,True
156,63,2016-06-29 09:32:51,build,True
157,63,2016-06-29 09:35:28,build,True
158,63,2016-06-29 09:38:12,build,True
159,63,2016-06-29 09:39:01,build,True
160,63,2016-06-29 09:43:43,build,True
161,63,2016-06-29 09:44:47,build,True
162,63,2016-06-29 09:56:48,build,True
163,63,2016-06-29 10:01:17,build,True
164,63,2016-06-29 10:04:08,build,True
165,63,2016-06-29 10:08:39,build,True
166,64,2016-06-29 10:22:26,build,True
167,64,2016-06-29 10:23:21,build,True
168,64,2016-06-29 10:24:49,build,True
169,64,2016-06-29 10:52:15,build,True
170,64,2016-06-29 10:52:38,build,True
171,64,2016-06-29 10:53:40,build,True
172,64,2016-06-29 11:05:56,build,True
173,64,2016-06-29 11:12:24,build,True
174,64,2016-06-29 11:17:24,build,True
175,65,2016-06-29 11:21:55,build,True
176,66,2016-06-29 11:35:08,build,True
177,66,2016-06-29 11:41:50,build,True
178,66,2016-06-29 11:45:01,build,True
179,66,2016-06-29 11:49:11,build,True
180,66,2016-06-29 11:51:04,build,True
181,66,2016-06-29 11:58:59,build,True
182,66,2016-06-29 12:00:18,build,True
183,66,2016-06-29 12:04:17,build,True
184,66,2016-06-29 12:16:19,build,True
185,66,2016-06-29 12:17:17,build,True
186,66,2016-06-29 12:20:46,build,True
187,67,2016-06-29 13:00:02,build,True
188,67,2016-06-29 13:01:14,build,True
189,67,2016-06-29 13:12:46,build,True
190,67,2016-06-29 13:13:13,build,True
191,67,2016-06-29 13:14:17,build,True
192,67,2016-06-29 13:15:08,build,True
193,67,2016-06-29 13:18:36,build,True
194,67,2016-06-29 13:31:38,build,True
195,67,2016-06-29 13:32:44,build,True
196,67,2016-06-29 13:34:30,build,True
197,68,2016-06-29 13:36:32,build,True
198,69,2016-06-29 15:05:23,build,True
199,69,2016-06-29 15:29:43,build,True
200,69,2016-06-29 15:32:38,build,True
201,69,2016-06-29 15:36:08,build,True
202,70,2016-06-29 15:37:39,build,True
203,70,2016-06-29 15:38:23,build,True
204,70,2016-06-29 15:39:39,build,True
205,70,2016-06-29 15:39:54,build,True
206,70,2016-06-29 15:40:22,build,True
207,70,2016-06-29 15:48:02,build,True
208,70,2016-06-29 15:48:19,build,True
209,70,2016-06-29 15:50:50,build,True
210,72,2016-10-04 18:53:52,build,False
211,72,2016-10-04 18:54:25,build,True
212,72,2016-10-04 18:55:48,build,True
215,75,2016-05-10 23:42:32,build,True
216,75,2016-05-10 23:42:55,build,True
217,75,2016-05-10 23:48:01,build,True
