sessionID,timestamp,totalTests,testsPassed
f23af4c6-66b5-4d9f-b6e0-83de319b70c5,2016-07-08T20:06:38.106260500+02:00,1,1
9729b737-8fb0-461e-8694-390548199f57,2016-07-08T20:20:50.467281800+02:00,1,0
9729b737-8fb0-461e-8694-390548199f57,2016-07-08T20:21:53.299535400+02:00,1,1
9729b737-8fb0-461e-8694-390548199f57,2016-07-08T20:22:32.119347400+02:00,1,1
9729b737-8fb0-461e-8694-390548199f57,2016-07-08T20:22:36.453524900+02:00,1,1
9729b737-8fb0-461e-8694-390548199f57,2016-07-08T20:23:01.069222300+02:00,1,1
b99b9ae8-e110-4c75-ae7a-62512b391d53,2016-07-12T22:13:44.768979100+02:00,1,0
b99b9ae8-e110-4c75-ae7a-62512b391d53,2016-07-12T22:14:01.424384+02:00,1,1
b99b9ae8-e110-4c75-ae7a-62512b391d53,2016-07-12T22:48:06.443831300+02:00,1,1
b99b9ae8-e110-4c75-ae7a-62512b391d53,2016-07-12T22:48:32.556777+02:00,1,1
b99b9ae8-e110-4c75-ae7a-62512b391d53,2016-07-12T22:48:46.119098300+02:00,1,1
b99b9ae8-e110-4c75-ae7a-62512b391d53,2016-07-12T22:49:08.767950400+02:00,2,2
b99b9ae8-e110-4c75-ae7a-62512b391d53,2016-07-12T22:52:55.872751500+02:00,2,2
b99b9ae8-e110-4c75-ae7a-62512b391d53,2016-07-12T22:53:29.213986200+02:00,2,2
b99b9ae8-e110-4c75-ae7a-62512b391d53,2016-07-12T22:54:10.721739200+02:00,2,2
b99b9ae8-e110-4c75-ae7a-62512b391d53,2016-07-12T22:56:08.236529900+02:00,2,2
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T17:44:58.592851200+02:00,1,0
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T18:43:38.394156300+02:00,0,0
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T18:45:11.080571300+02:00,0,0
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T18:45:15.656730200+02:00,0,0
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T18:45:30.091083100+02:00,0,0
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T18:46:59.902841600+02:00,20,0
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T18:48:30.547810700+02:00,1,0
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T18:49:28.861859900+02:00,21,1
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T18:51:53.720381700+02:00,21,21
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T18:53:04.497505900+02:00,21,21
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T18:53:20.609337100+02:00,21,21
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T18:53:27.681135900+02:00,21,21
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T18:53:55.997411300+02:00,21,21
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T18:54:54.311688100+02:00,21,21
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T18:55:50.751727500+02:00,21,21
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T18:57:15.437140200+02:00,21,21
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T19:02:13.031942+02:00,21,21
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T19:03:28.965112700+02:00,21,21
0504fbd1-cce2-4431-b4e2-edc63eea1c6d,2016-07-13T20:24:46.465470900+02:00,21,21
1e0455b0-f597-4b64-ad18-57d19bb7e115,2016-07-14T19:55:26.622843100+02:00,21,21
d68f464b-0fa9-4917-b6ba-4de7dfb4a076,2016-07-14T20:52:43.681113300+02:00,21,21
80e3fd62-af77-4d44-835c-ef0fc3fcd5fc,2016-07-14T21:11:05.402817800+02:00,21,21
1484eb75-5427-44ac-8008-cbdbf311c5de,2016-07-15T13:44:47.550611400+02:00,21,21
1484eb75-5427-44ac-8008-cbdbf311c5de,2016-07-15T13:45:21.636649600+02:00,21,21
1484eb75-5427-44ac-8008-cbdbf311c5de,2016-07-15T13:55:57.917505900+02:00,21,21
1484eb75-5427-44ac-8008-cbdbf311c5de,2016-07-15T14:39:38.458816300+02:00,21,0
1484eb75-5427-44ac-8008-cbdbf311c5de,2016-07-15T14:44:58.952803500+02:00,21,0
1484eb75-5427-44ac-8008-cbdbf311c5de,2016-07-15T15:23:05.990863400+02:00,21,0
1484eb75-5427-44ac-8008-cbdbf311c5de,2016-07-15T15:27:14.419914200+02:00,21,0
1484eb75-5427-44ac-8008-cbdbf311c5de,2016-07-15T15:28:54.876029100+02:00,21,0
1484eb75-5427-44ac-8008-cbdbf311c5de,2016-07-15T15:30:37.325015900+02:00,21,0
1484eb75-5427-44ac-8008-cbdbf311c5de,2016-07-15T15:32:26.000444+02:00,21,0
1484eb75-5427-44ac-8008-cbdbf311c5de,2016-07-15T15:42:42.269697+02:00,21,0
7bf93829-edf2-40da-94e6-391b8d07fbb7,2016-07-15T15:48:26.872456500+02:00,21,0
7bf93829-edf2-40da-94e6-391b8d07fbb7,2016-07-15T15:49:46.189920300+02:00,21,1
7bf93829-edf2-40da-94e6-391b8d07fbb7,2016-07-15T17:42:39.486227300+02:00,21,0
7bf93829-edf2-40da-94e6-391b8d07fbb7,2016-07-15T17:51:44.227871900+02:00,21,0
7bf93829-edf2-40da-94e6-391b8d07fbb7,2016-07-15T17:57:18.847170900+02:00,21,0
7bf93829-edf2-40da-94e6-391b8d07fbb7,2016-07-15T18:03:05.679222800+02:00,21,0
7bf93829-edf2-40da-94e6-391b8d07fbb7,2016-07-15T18:04:20.789171400+02:00,21,0
7bf93829-edf2-40da-94e6-391b8d07fbb7,2016-07-15T18:08:17.967388400+02:00,21,0
7bf93829-edf2-40da-94e6-391b8d07fbb7,2016-07-15T18:10:35.441445800+02:00,21,0
7bf93829-edf2-40da-94e6-391b8d07fbb7,2016-07-15T18:17:49.758033+02:00,21,0
7bf93829-edf2-40da-94e6-391b8d07fbb7,2016-07-15T18:19:09.503855800+02:00,21,21
1d46e67b-8936-4b5b-88ea-3961a63b8aac,2016-07-15T18:27:13.743635700+02:00,21,1
1d46e67b-8936-4b5b-88ea-3961a63b8aac,2016-07-15T18:59:59.424231400+02:00,20,6
1d46e67b-8936-4b5b-88ea-3961a63b8aac,2016-07-15T19:03:52.822249600+02:00,21,1
1d46e67b-8936-4b5b-88ea-3961a63b8aac,2016-07-15T19:08:48.150313700+02:00,21,7
1d46e67b-8936-4b5b-88ea-3961a63b8aac,2016-07-15T19:12:36.868568300+02:00,21,7
1d46e67b-8936-4b5b-88ea-3961a63b8aac,2016-07-15T19:23:10.426654700+02:00,21,7
1d46e67b-8936-4b5b-88ea-3961a63b8aac,2016-07-15T19:30:03.961251100+02:00,21,7
98f7c1da-da7a-4a02-a94d-f04a0a83b10e,2016-07-15T19:40:13.768399+02:00,21,7
98f7c1da-da7a-4a02-a94d-f04a0a83b10e,2016-07-15T19:48:35.944572300+02:00,21,7
98f7c1da-da7a-4a02-a94d-f04a0a83b10e,2016-07-15T19:53:49.706853800+02:00,21,7
98f7c1da-da7a-4a02-a94d-f04a0a83b10e,2016-07-15T19:55:59.590846900+02:00,20,6
98f7c1da-da7a-4a02-a94d-f04a0a83b10e,2016-07-15T19:59:34.466215400+02:00,21,7
98f7c1da-da7a-4a02-a94d-f04a0a83b10e,2016-07-15T20:02:04.439969900+02:00,20,6
98f7c1da-da7a-4a02-a94d-f04a0a83b10e,2016-07-15T20:05:17.849489500+02:00,20,13
5845be83-068f-4a5e-ab38-149258f382c8,2016-07-15T20:48:20.804792600+02:00,21,14
5038c10d-dc98-4a4c-b650-760b32bb2d33,2016-07-16T17:47:30.889407600+02:00,21,14
5038c10d-dc98-4a4c-b650-760b32bb2d33,2016-07-16T17:52:45.858948+02:00,21,14
5038c10d-dc98-4a4c-b650-760b32bb2d33,2016-07-16T18:24:49.352939500+02:00,21,14
