sessionID,timestamp,buildSuccessful
8d22b7b4-58c5-4101-b754-d3fa842ba62d,2016-07-08T18:02:25.521489400+02:00,true
8d22b7b4-58c5-4101-b754-d3fa842ba62d,2016-07-08T18:02:47.427946300+02:00,true
ac705dcb-0848-4448-847d-70f0f8f0315a,2016-07-08T18:17:57.693892300+02:00,true
f23af4c6-66b5-4d9f-b6e0-83de319b70c5,2016-07-08T20:06:38.448145+02:00,true
f23af4c6-66b5-4d9f-b6e0-83de319b70c5,2016-07-08T20:08:21.168403+02:00,true
f23af4c6-66b5-4d9f-b6e0-83de319b70c5,2016-07-08T20:12:21.722991800+02:00,true
9729b737-8fb0-461e-8694-390548199f57,2016-07-08T20:17:56.807548400+02:00,true
9729b737-8fb0-461e-8694-390548199f57,2016-07-08T20:18:46.757869400+02:00,true
9729b737-8fb0-461e-8694-390548199f57,2016-07-08T20:19:49.391688300+02:00,true
9729b737-8fb0-461e-8694-390548199f57,2016-07-08T20:20:23.038652400+02:00,true
9729b737-8fb0-461e-8694-390548199f57,2016-07-08T20:20:50.963604100+02:00,true
9729b737-8fb0-461e-8694-390548199f57,2016-07-08T20:21:09.728653+02:00,true
9729b737-8fb0-461e-8694-390548199f57,2016-07-08T20:21:53.604316400+02:00,true
9729b737-8fb0-461e-8694-390548199f57,2016-07-08T20:22:32.390887100+02:00,true
9729b737-8fb0-461e-8694-390548199f57,2016-07-08T20:22:36.674111600+02:00,true
9729b737-8fb0-461e-8694-390548199f57,2016-07-08T20:23:01.330916300+02:00,true
9729b737-8fb0-461e-8694-390548199f57,2016-07-08T20:23:30.151156500+02:00,true
9729b737-8fb0-461e-8694-390548199f57,2016-07-08T20:26:11.720367800+02:00,true
9729b737-8fb0-461e-8694-390548199f57,2016-07-08T20:26:13.708652200+02:00,true
27b78558-6d6c-4a3a-8ca5-d0ac5f92ba47,2016-07-12T13:37:40.673114300+02:00,false
bf72c0aa-3b39-4493-8900-c935dcb0c6e6,2016-07-12T16:40:59.725432300+02:00,true
926a5b42-10c7-4b6e-bf3a-9b4d237ac233,2016-07-12T21:49:53.588684100+02:00,true
926a5b42-10c7-4b6e-bf3a-9b4d237ac233,2016-07-12T21:51:42.247322600+02:00,true
175cae79-33bb-4d96-be4d-bdbe49d2190c,2016-07-12T22:08:58.279749300+02:00,true
b99b9ae8-e110-4c75-ae7a-62512b391d53,2016-07-12T22:13:45.225197200+02:00,true
b99b9ae8-e110-4c75-ae7a-62512b391d53,2016-07-12T22:14:01.665996500+02:00,true
b99b9ae8-e110-4c75-ae7a-62512b391d53,2016-07-12T22:48:07.118623900+02:00,true
b99b9ae8-e110-4c75-ae7a-62512b391d53,2016-07-12T22:48:32.839548100+02:00,true
b99b9ae8-e110-4c75-ae7a-62512b391d53,2016-07-12T22:48:46.323616100+02:00,true
b99b9ae8-e110-4c75-ae7a-62512b391d53,2016-07-12T22:49:08.974472300+02:00,true
b99b9ae8-e110-4c75-ae7a-62512b391d53,2016-07-12T22:52:56.099358300+02:00,true
b99b9ae8-e110-4c75-ae7a-62512b391d53,2016-07-12T22:53:29.440560600+02:00,true
b99b9ae8-e110-4c75-ae7a-62512b391d53,2016-07-12T22:53:57.915673300+02:00,true
b99b9ae8-e110-4c75-ae7a-62512b391d53,2016-07-12T22:54:11.059638+02:00,true
b99b9ae8-e110-4c75-ae7a-62512b391d53,2016-07-12T22:56:08.493238100+02:00,true
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T13:00:40.070097800+02:00,true
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T17:07:47.307474400+02:00,true
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T17:42:39.319733900+02:00,true
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T17:43:05.872470+02:00,true
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T17:44:59.066134200+02:00,true
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T18:43:24.406965+02:00,true
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T18:43:38.688932900+02:00,true
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T18:45:11.313190100+02:00,true
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T18:45:30.298634900+02:00,true
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T18:47:00.266807500+02:00,true
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T18:48:30.798491700+02:00,true
068370ce-c891-45d8-8255-8c9ea63f3b43,2016-07-13T18:49:29.179675200+02:00,true
